User-ID,ISBN,Book-Rating
276772,3499230933,10
276994,3423202327,6
276994,3492045170,7
276994,3492230814,6
276994,3596214629,8
277170,0553285920,9
277170,0871312549,0
277197,0440225442,8
277197,0743229878,6
277436,0590629786,10
277523,0316603570,10
277523,0316693200,10
277523,055308576X,10
277523,0553803409,10
277562,0571200389,0
277748,881715010X,6
277922,0553580191,9
278446,0743418190,6
278452,0380720663,0
278552,0684829746,10
278832,1558745718,10
88,0553062042,7
129,0316735736,7
372,3596214629,8
383,0060188731,0
383,0385418493,0
383,0590481371,0
383,0743470389,0
383,0891091963,5
383,1880185008,5
392,8478091246,0
507,0020427859,9
507,0140230165,7
507,0307118703,0
507,0307128865,0
507,0345413377,0
507,0345447409,0
507,0439080967,0
507,0439163099,0
507,0449209121,0
507,0553564528,7
507,0553571842,7
507,0590418858,0
507,067102406X,0
507,067151699X,0
507,0671885634,0
507,0689710895,10
507,0759228086,0
507,0786817070,0
507,080411952X,0
714,0521427150,0
714,0812923278,0
876,0345298985,0
876,0345310292,0
876,0441317502,0
876,0451130448,0
876,0553266500,0
876,0804102279,0
929,0345331605,7
929,0425050750,8
969,068986020X,8
1008,0312195516,9
1167,038039586X,0
1167,0452281784,0
1184,0425163385,7
1231,0007108648,0
1254,0764504509,0
1254,089480829X,10
1254,0971453209,0
1660,0345454073,3
1660,089480829X,7
1848,0099244926,0
1848,0285632655,0
1848,0345443683,9
1848,0441328008,0
1848,0486278026,0
1848,0671027387,0
1848,0812550307,0
1915,0440224659,7
1971,0312874995,7
2046,0373196504,0
2046,0525440631,0
2103,0142003409,10
2288,0345468392,0
2288,0425144569,0
2288,0821764462,10
2324,038079893X,0
2337,0060928336,9
2337,0136714897,10
2337,0375705856,0
2337,0451191153,8
2375,0743417720,0
2389,3423202343,6
2853,0671527215,0
2889,0312263449,8
3100,044661064X,0
3113,0446530522,0
3200,8439709498,7
3329,0345313577,7
3329,0671720406,0
3538,8408022296,6
3538,8420441902,0
3538,8429434895,9
3538,8436808452,0
3538,8440635893,8
3538,848460246X,6
3690,0553295772,0
3728,0553574671,9
3827,0312309295,7
3827,0345441710,0
3827,0441004326,8
3827,0671003526,5
3827,0671003534,0
3827,0688134017,0
3827,0756400805,0
3827,0804114986,10
3827,0804116571,0
3827,0886779014,8
3897,1930353006,8
3902,0874831121,8
3934,0393956571,0
3951,0060931809,7
3983,0684843110,8
4802,0099759713,0
4802,0684865742,0
4948,2020239302,9
4965,0671016768,7
5091,0312195516,0
5091,0449218473,8
5293,0704349469,0
5694,0671737295,0
5694,068981934X,0
5703,0060278250,9
5728,0195042239,6
5728,0451163524,8
5728,0452280621,9
5728,0553579908,0
5903,0006551076,0
5903,0060589272,0
5903,0060921145,0
5903,0142002003,0
5903,0312195516,0
5903,0316057401,0
5903,0316777722,7
5903,0340682272,0
5903,0345423097,0
5903,0345435168,0
5903,0380814021,0
5903,0385720955,0
5903,0449221490,0
5903,0449911594,0
5903,0451208846,7
5903,067188784X,0
5903,0684867427,0
5903,076790382X,9
5903,0767915593,0
6229,0316181358,9
6249,067188784X,9
6349,0060928336,8
6501,0060924349,0
6501,038001503X,7
6520,0471062189,0
6577,044023722X,0
6582,0316777722,5
6582,0878332928,0
6712,3423130148,8
6869,0679427279,9
6884,0345308980,0
6906,0446611662,7
7105,0006372570,5
7105,0006374093,0
7105,034910901X,0
7105,055299619x,0
7105,0552998001,10
7105,0951980424,0
7199,158567074X,5
7355,0553574671,0
7509,0060175400,8
7509,0140075623,8
7525,0749720409,8
7867,3423202327,8
7867,3442421357,8
7917,0486264645,0
7980,0743421922,8
8263,0375705856,8
8323,0373194714,5
8323,0684810395,7
8362,0060951273,0
8362,0374513112,0
8362,0385315236,8
8362,0446359866,0
8362,0515132136,0
8362,055321490X,6
8362,0553256130,0
8362,067088300X,0
8362,0671504371,0
8362,8423307328,7
8362,8423310728,0
8529,0141312556,0
8529,0439064864,10
8529,051722108X,0
8529,0595014283,9
8529,1843430215,0
8529,186046310X,0
8529,2070383652,0
8529,2266102621,0
8529,3829028784,0
8839,0307968219,0
8839,0753451131,0
8839,0870449559,0
8839,0920236936,0
8839,1563053179,0
8839,1577490177,0
8961,0060517794,8
8961,0440204208,9
8961,0553209671,10
9141,0060928336,0
9141,0140195874,0
9141,0312195516,0
9141,0345394070,0
9141,0674007913,0
9141,0688097391,0
9141,0696211785,0
9141,0743226208,0
9141,0764551418,0
9141,0877739706,0
9141,089721255X,0
9141,0922705380,0
9141,0937750123,0
9141,0937750239,0
9141,1567994288,0
9141,1880281139,0
9440,0195113713,5
9440,0922066434,9
9440,1551108496,10
9460,155874424X,10
9939,0446520802,0
10215,1853260029,8
10215,1902825969,0
10654,0061015075,0
10654,0224031457,0
10668,0451172817,0
10668,0451205626,0
10924,038072751X,0
10924,0425155943,5
10924,0451515927,0
10924,0451527747,7
11053,042514321X,0
11120,0099269325,0
11120,0375758232,0
11120,0440223237,0
11120,0451199936,8
11120,0451204379,0
11120,0671880187,8
11120,0679436960,0
11120,0804114862,0
11120,8817666998,0
11260,0751500046,0
11547,0440176484,0
11687,0316507415,0
11687,0375500316,10
11687,0394712390,8
11687,0399139206,0
11687,0425132110,10
11687,0553353896,0
11687,0679437851,10
11687,0861013743,8
11687,0920656404,10
11687,1582970807,0
11944,0446673544,0
11944,0618002219,10
11944,0618002243,10
11944,067945540X,8
12113,315009951X,6
12137,0446530522,8
12137,067086014X,4
12278,0670852627,0
12331,0020519605,0
12331,0060972084,0
12331,0140034919,5
12331,8408040383,0
12362,006009527X,0
12362,0425182703,8
12362,0806524154,5
12563,0142301655,9
12578,0312195516,10
12671,0060170832,0
12671,0671794248,0
12717,1573226041,10
12841,843760057X,8
12945,0064472531,6
12945,067178501X,0
12992,0394759842,0
13280,0156000520,10
13280,0312208804,0
13280,0385127685,7
13280,0917846494,7
13280,1563083701,7
13399,0061097314,0
13503,0452277337,10
13551,0312280661,10
13551,0312955510,8
13551,0385503822,10
13551,0446527378,10
13551,0449911780,10
13551,0805053077,10
13552,0060083298,0
13552,0060096195,7
13552,0060195460,0
13552,0060198346,0
13552,0060512148,0
13552,0060607866,0
13552,0060928336,0
13552,006092988X,0
13552,0345450914,0
13552,0373194749,0
13552,0373240945,6
13552,0373250215,0
13552,0373250606,7
13552,0375760628,0
13552,0380724731,0
13552,0380811901,0
13552,0385336810,0
13552,0394531094,0
13552,0425065553,0
13552,0425163385,0
13552,0425165566,0
13552,0440176484,6
13552,0440181488,0
13552,0440201926,8
13552,044022165X,8
13552,0440223202,0
13552,0440223237,0
13552,044023722X,0
13552,0446341754,8
13552,0446361739,5
13552,0446530077,0
13552,0446603090,5
13552,0446604089,9
13552,0446610542,7
13552,0446610550,0
13552,0449005569,0
13552,0451181379,0
13552,0451191153,0
13552,0452281784,0
13552,0471318590,0
13552,051512608X,0
13552,0553260111,8
13552,0553264079,8
13552,0553274848,8
13552,0553281798,0
13552,0553293761,7
13552,067089379X,9
13552,0671027387,0
13552,0671793543,8
13552,067974228X,0
13552,0679772677,0
13552,068480302X,9
13552,0684854155,0
13552,0684868091,0
13552,0688084907,0
13552,0743205049,0
13552,0767915593,0
13552,0812517865,0
13552,0881844381,0
13552,0897332903,0
13623,3518398873,8
13682,0441001963,10
13682,0441662250,8
13682,0441944604,10
13682,0553579908,0
13754,0679772677,0
13780,0425179672,0
13915,0060589272,0
13915,031298250X,0
13915,0671027387,8
14079,030717025X,6
14079,039397281X,10
14079,0486275426,0
14079,0553211439,0
14079,0679722610,0
14079,1400100666,0
14079,1572703350,0
14079,8408023217,0
14079,9500285738,0
14180,0446610232,0
14180,0553260111,0
14232,0140148620,0
14232,0446673544,0
14232,2020056828,0
14232,2020591944,8
14232,2070375951,5
14232,2080704001,5
14232,2207248526,0
14232,2207303837,0
14232,2226078339,0
14232,2264027908,0
14232,2266102621,0
14232,2277219711,8
14232,2290045764,10
14232,2290314706,8
14232,2290315524,9
14232,2707139661,9
14336,0802136346,8
14336,1586420232,7
14343,0330282565,8
14393,0345340973,8
14393,055320663X,8
14393,0671631845,8
14400,0740721909,0
14598,0440223202,8
14638,0060191961,10
14638,0061091480,6
14638,0340173262,0
14638,0451181379,0
14638,0590431978,5
14638,060960161X,0
14638,0671704184,0
14638,068815512X,0
14638,0804114862,0
14638,1882606256,8
14709,0590251597,0
14897,0671024345,0
14897,0671026356,0
14897,0671041754,0
14897,0743418948,0
14897,0743431707,0
14897,0804114986,0
15029,0345314999,6
15046,0345338588,10
15046,0671877372,0
15067,189186744X,10
15087,0060256672,0
15087,0706406486,0
15230,0006550924,9
15597,0330297546,8
15602,0375727132,7
15602,0451191153,7
15602,156619024X,10
15654,0060920432,7
15670,0061097349,9
15670,0380798360,0
15670,0380813297,9
15757,0553296752,8
15783,0446679364,6
15822,0446611638,9
16413,0141312335,0
16413,0373292163,0
16413,0380723816,0
16413,0439226481,0
16413,0439434548,0
16413,0440457556,0
16413,0441010202,0
16413,0515128821,0
16413,0831709715,0
